"city","city_ascii","state_id","state_name","lat","lng","population","density"
"Brandon","Brandon","MS","Mississippi","32.2778","-89.9896","24289","365"
"Sun City Center","Sun City Center","FL","Florida","27.7149","-82.3569","24286","595"
"Inkster","Inkster","MI","Michigan","42.2935","-83.3148","24284","1499"
"Thomasville","Thomasville","GA","Georgia","30.8394","-83.9782","24275","476"
"Ponca City","Ponca City","OK","Oklahoma","36.7235","-97.0679","24274","496"
"Cataño","Catano","PR","Puerto Rico","18.4415","-66.1388","24271","1921"
"Tysons","Tysons","VA","Virginia","38.9215","-77.2273","24261","2196"
"West Melbourne","West Melbourne","FL","Florida","28.0693","-80.6734","24259","883"
"Faribault","Faribault","MN","Minnesota","44.2985","-93.2786","24250","608"
"San Benito","San Benito","TX","Texas","26.1298","-97.6440","24243","592"
"Fort Washington","Fort Washington","MD","Maryland","38.7339","-77.0069","24237","678"
"Lincolnton","Lincolnton","NC","North Carolina","35.4747","-81.2385","24229","499"
"West Springfield","West Springfield","VA","Virginia","38.7771","-77.2268","24223","1943"
"Simpsonville","Simpsonville","SC","South Carolina","34.7287","-82.2573","24221","1013"
"Waverly","Waverly","MI","Michigan","42.7401","-84.6353","24201","1030"
"Bailey's Crossroads","Bailey's Crossroads","VA","Virginia","38.8477","-77.1305","24180","4551"
"Okemos","Okemos","MI","Michigan","42.7057","-84.4135","24141","552"
"Ridgeland","Ridgeland","MS","Mississippi","32.4236","-90.1481","24104","435"
"Elmwood Park","Elmwood Park","IL","Illinois","41.9225","-87.8163","24098","4875"
"North Platte","North Platte","NE","Nebraska","41.1266","-100.7640","24098","689"
"Charles Town","Charles Town","WV","West Virginia","39.2745","-77.8632","24094","398"
"Freeport","Freeport","IL","Illinois","42.2893","-89.6347","24092","787"
"Waukee","Waukee","IA","Iowa","41.5984","-93.8872","24089","448"
"South Plainfield","South Plainfield","NJ","New Jersey","40.5748","-74.4153","24052","1119"
"Wadsworth","Wadsworth","OH","Ohio","41.0279","-81.7324","24046","822"
"Tumwater","Tumwater","WA","Washington","46.9890","-122.9173","24024","532"
"Fairfax","Fairfax","VA","Virginia","38.8531","-77.2998","24019","1486"
"Candler-McAfee","Candler-McAfee","GA","Georgia","33.7267","-84.2723","24011","1331"
"Oak Ridge","Oak Ridge","FL","Florida","28.4727","-81.4169","24004","2611"
"Venice","Venice","FL","Florida","27.1163","-82.4135","23985","614"
"Wright","Wright","FL","Florida","30.4445","-86.6419","23965","1684"
"Lincolnia","Lincolnia","VA","Virginia","38.8158","-77.1543","23933","1949"
"Westchase","Westchase","FL","Florida","28.0597","-82.6110","23923","929"
"Edgewater","Edgewater","FL","Florida","28.9594","-80.9407","23918","375"
